rho0,rho1,sigma_eps,n_pos,n_neg,seed,d2_fisher,d2_best_single,amp_analytical,auc_r,auc_c,auc_opt,auc_fix,amp_opt,amp_fix,tpr_fpr_opt,tpr_fpr_fix
0.0,0.3,0.0,200000,200000,2024,12.5,6.25,6.25,0.961203367175,0.96100213245,0.990003566325,0.9878035648,0.028800199149999983,0.02660019762499999,0.951135,0.93905
0.0,0.3,0.0,200000,200000,7,12.5,6.25,6.25,0.9613609614,0.9616157447,0.990169248725,0.987935254325,0.02855350402500001,0.02631950962499996,0.950365,0.93924
0.0,0.3,0.25,200000,200000,42,9.819825809454159,5.325443786982249,4.4943820224719095,0.949064958575,0.9327427927,0.981979691725,0.980443439225,0.03291473315000004,0.03137848065000004,0.909865,0.902445
0.0,0.3,0.25,200000,200000,2024,9.819825809454159,5.325443786982249,4.4943820224719095,0.948342337425,0.9324214431,0.981790318975,0.98016352695,0.03344798155000006,0.031821189525000015,0.90859,0.900105
0.0,0.3,0.25,200000,200000,7,9.819825809454159,5.325443786982249,4.4943820224719095,0.948563690175,0.933294520525,0.98200955005,0.98034820355,0.03344585987500004,0.03178451337499999,0.909555,0.900545
0.0,0.3,0.5,200000,200000,42,6.127548980407838,3.6885245901639343,2.4390243902439033,0.91342271895,0.864940868825,0.954802549625,0.95435396685,0.04137983067499995,0.04093124789999991,0.782315,0.77895
0.0,0.3,0.5,200000,200000,2024,6.127548980407838,3.6885245901639343,2.4390243902439033,0.9123774435,0.864337674775,0.954281964075,0.953781134525,0.04190452057499994,0.04140369102499997,0.779825,0.77804
0.0,0.3,0.5,200000,200000,7,6.127548980407838,3.6885245901639343,2.4390243902439033,0.9127540799,0.865570508525,0.95465068125,0.954120527725,0.04189660134999995,0.041366447824999986,0.781375,0.77808
0.2,0.0,0.0,200000,200000,42,10.416666666666666,6.25,4.166666666666666,0.961499719725,0.961061665175,0.99136134205,0.989188671375,0.029861622325000003,0.02768895164999996,0.957995,0.94588
0.2,0.0,0.0,200000,200000,2024,10.416666666666666,6.25,4.166666666666666,0.961270022125,0.961033847925,0.991364537425,0.989171671475,0.030094515299999958,0.027901649349999946,0.95797,0.945845
0.2,0.0,0.0,200000,200000,7,10.416666666666666,6.25,4.166666666666666,0.961334155075,0.96166842035,0.9914810703,0.989213015725,0.029812649949999992,0.02754459537499998,0.95877,0.945295
0.2,0.0,0.25,200000,200000,42,8.496247365795277,5.325443786982249,3.170803578813028,0.948684476175,0.932587614575,0.98348576515,0.9818112972,0.03480128897500001,0.033126821025000086,0.914215,0.904415
0.2,0.0,0.25,200000,200000,2024,8.496247365795277,5.325443786982249,3.170803578813028,0.948455532075,0.932506694425,0.983478607725,0.9817755833,0.03502307564999996,0.033320051225000036,0.91307,0.90369
0.2,0.0,0.25,200000,200000,7,8.496247365795277,5.325443786982249,3.170803578813028,0.948508976875,0.933329418275,0.9836445059,0.981860818425,0.035135529024999945,0.03335184154999993,0.913955,0.904265
0.2,0.0,0.5,200000,200000,42,5.603399570614538,3.6885245901639343,1.914874980450604,0.912784371525,0.864711502375,0.956279305625,0.955718380125,0.04349493409999994,0.04293400859999996,0.77574,0.77331
